player_name,era,stat_arc,stat_obs,stat_aic,stat_atom,stat_hydra,jan31_feb14
Player41,SAT,140,87,72,,60,10939
Player114,SAT,180,100,100,,60,9709
Player523,SAT,140,100,80,,24,2277
Player351,SAT,120,104,,,59,7965
Player175,SAT,130,80,60,,42,5395
Player967,SAT,140,80,60,,36,9224
Player104,SAT,139,100,92,,22,9498
Player484,SAV,132,91,64,,,11897
Player14,SAT,123,60,60,62,27,2907
Player192,SAT,133,80,61,,8,7073
Player657,SAJM,110,100,18,,17,6620
Player982,SAT,80,80,,,20,4982
Player200,SAT,122,100,60,,10,8492
Player157,SAT,126,80,80,,16,5826
Player560,FE,137,100,81,,27,8244
Player812,SAAB,130,80,80,,16,1627
Player785,SAAB,160,100,60,,12,9089
Player596,SAT,144,80,60,,,2441
Player51,SAT,96,80,60,,10,938
Player247,SAV,101,101,80,23,10,3337
Player306,SAV,145,100,65,,11,2256
Player469,AF,100,81,74,,9,7529
Player980,SAAB,100,100,55,,,4468
Player134,SAAB,81,80,20,28,,3800
Player282,SAAB,111,80,57,,,1784
Player313,SAM,100,100,,,,4031
Player446,FE,125,105,,,19,2967
Player933,SAAB,80,80,,,,1720
Player798,SAV,100,100,,,6,1425
Player66,SAAB,105,100,65,,,1700
Player530,SAM,100,80,80,,14,1353
Player105,SAAB,94,83,,,,1047
Player632,PE,138,100,80,,11,8378
Player221,AF,104,100,33,,12,2113
Player599,OF,100,81,61,,10,3921
Player58,SAM,102,80,33,,,1620
Player635,AF,95,81,13,,12,951
Player52,FE,88,80,,,,1420
Player652,INA,160,84,,,35,1397
Player626,FE,106,80,,,,2218
Player278,FE,114,90,49,,,2018
Player113,INA,127,100,100,78,16,5342
Player636,FE,102,100,10,,5,1119
Player119,FE,114,80,,,10,2296
Player176,PE,124,100,,,10,1269
Player958,PME,100,122,,69,5,3106
Player361,FE,80,80,,,6,1789
Player542,CE,102,104,,,17,3137
Player937,FE,81,80,,,,1435
Player43,FE,102,80,,,,8831
Player733,FE,100,82,,,,1009
Player815,PE,109,80,,,10,1108
Player321,FE,82,80,,,,2212
Player551,CE,100,100,,,8,2590
Player544,INA,137,80,,,,10411
Player693,PE,101,100,,,20,2447
Player833,FE,100,96,,,,1295
Player318,INA,107,80,,,,7481
Player783,PE,90,90,,,,8741
Player942,ME,95,96,41,14,,2057
Player26,LMA,113,80,,,,2301
Player527,PE,109,80,,,,3274
Player648,PE,80,80,,,,8688
Player485,INA,101,80,,,,1138
Player760,HMA,103,87,,,,2354
Player774,PE,100,80,,,,1779
Player740,PE,80,80,,,1,1058
Player496,INA,100,100,,,7,2270
Player274,ME,80,80,60,,,2911
Player581,PE,92,82,,,,2330
Player852,PE,81,80,,,,1484
Player327,INA,100,97,,,10,3670
Player427,CA,96,80,,,10,1376
Player878,LMA,80,80,74,,,1013
Player107,INA,80,100,,,,1616
Player412,IA,114,80,,,,2768
Player763,ME,96,80,,,,965
Player541,IA,93,80,,,10,1089
Player709,EMA,100,100,,,10,1491
Player487,IA,80,80,,,,1539
