player_name,era,stat_arc,stat_obs,stat_aic,stat_atom,stat_hydra,jan31_feb14
Player1714,SAT,180,100,60,100,,11098
Player1059,SAT,180,100,60,100,17,10431
Player1868,SAT,144,,,,30,7467
Player1598,SAT,180,61,80,61,,10874
Player1721,SAT,147,80,74,,15,3978
Player1893,SAT,130,100,70,,33,7726
Player1663,SAT,113,62,60,,11,1934
Player1404,SAT,148,68,20,,12,5706
Player1412,SAT,137,,,,,1269
Player1762,SAJM,119,42,13,,5,3280
Player1303,SAT,80,68,,,40,2411
Player1470,SAT,111,70,23,,18,1495
Player1087,SAJM,126,62,,,,4360
Player1160,SAT,125,61,13,,8,1307
Player1627,SAT,80,20,,,39,2507
Player1728,SAV,141,60,60,60,,7350
Player1266,SAT,100,80,,,18,1398
Player1036,SAV,120,61,10,,,3342
Player1174,SAT,129,60,,,,1340
Player1154,SAM,122,51,70,27,10,6152
Player1862,SAAB,84,64,15,,25,5677
Player1230,PE,172,41,,,14,13030
Player1569,SAV,106,66,67,,11,1375
Player1272,SAV,91,11,10,,,1048
Player1880,FE,131,70,,,10,7212
Player1115,SAAB,123,64,,,,3309
Player1425,PE,126,71,,,22,6556
Player1111,SAAB,109,81,32,,,2149
Player1965,PE,150,65,46,,,6494
Player1444,SAAB,102,7,13,,,955
Player1271,TE,120,51,,,,5298
Player1095,PE,130,80,,,,2973
Player1539,OF,100,59,69,,10,1695
Player1288,FE,120,60,37,17,10,3870
Player1260,SAM,108,67,,,,742
Player1659,CE,144,70,,,,946
Player1177,FE,106,75,,,12,1886
Player1325,PE,124,81,36,,27,2843
Player1759,FE,102,73,,,,1301
Player1422,FE,121,70,,,,3556
Player1270,OF,160,15,,,10,2054
Player1946,PE,133,75,,,,10206
Player1952,OF,112,20,,11,,1470
Player1478,VF,95,63,,,,922
Player1989,AF,100,24,,,,1785
Player1161,INA,131,65,,,,1329
Player1071,FE,80,80,,,,1921
Player1247,FE,86,10,,,,5416
Player1322,OF,82,22,,,,1684
Player1814,FE,80,60,,15,,1250
Player1656,FE,87,79,,,,1600
Player1204,AF,97,29,17,,,2503
Player1723,OF,80,27,,,,1161
Player1670,TE,80,77,,,,1271
Player1519,INA,110,74,,,,2620
Player1002,CE,101,24,,,,4462
Player1749,PME,100,39,,,,1387
Player1688,INA,98,23,,,7,2443
Player1936,PE,100,21,,,,1183
Player1876,PE,80,11,,,10,5685
Player1027,CE,103,9,,,6,1421
Player1065,INA,100,80,,,,8095
Player1222,CE,102,72,,,,1039
Player1888,PME,103,53,,,,2218
Player1014,PE,100,60,,,,3207
Player1776,INA,121,,,,,1709
Player1134,ME,80,16,,,,1633
Player1061,PE,100,59,,,,1585
Player1566,IA,100,,,,,1076
Player1977,LMA,102,31,,,,1552
Player1410,INA,108,,,,,1169
Player1889,PE,98,44,,,,2947
Player1500,INA,114,30,,,,1199
Player1338,PE,76,25,,,,1698
Player1378,PE,86,37,,,,1074
Player1616,INA,91,15,,,,1681
Player1323,CA,83,16,,,,1054
Player1819,INA,80,11,,,,1461
Player1719,CA,81,14,,,,1989
Player1824,PE,80,8,,3,,2011
